DISTRICTID,STFIPS,CDFIPS,STATE_ABBR,NAME,LAST_NAME,PARTY,GEO_ID
"5600","56","00",WY,Liz Cheney,Cheney,Republican,5001600US5600
"5401","54","01",WV,David B. McKinley,McKinley,Republican,5001600US5401
"5402","54","02",WV,Alexander X. Mooney,Mooney,Republican,5001600US5402
"5403","54","03",WV,Carol Miller,Miller,Republican,5001600US5403
"5501","55","01",WI,Bryan Steil,Steil,Republican,5001600US5501
"5502","55","02",WI,Mark Pocan,Pocan,Democrat,5001600US5502
"5503","55","03",WI,Ron Kind,Kind,Democrat,5001600US5503
"5504","55","04",WI,Gwen Moore,Moore,Democrat,5001600US5504
"5505","55","05",WI,Scott Fitzgerald,Fitzgerald,Republican,5001600US5505
"5506","55","06",WI,Glenn Grothman,Grothman,Republican,5001600US5506
"5507","55","07",WI,Thomas P. Tiffany,Tiffany,Republican,5001600US5507
"5508","55","08",WI,Mike Gallagher,Gallagher,Republican,5001600US5508
"5301","53","01",WA,Suzan K. DelBene,DelBene,Democrat,5001600US5301
"5302","53","02",WA,Rick Larsen,Larsen,Democrat,5001600US5302
"5303","53","03",WA,Jaime Herrera Beutler,Beutler,Republican,5001600US5303
"5304","53","04",WA,Dan Newhouse,Newhouse,Republican,5001600US5304
"5305","53","05",WA,Cathy McMorris Rodgers,Rodgers,Republican,5001600US5305
"5306","53","06",WA,Derek Kilmer,Kilmer,Democrat,5001600US5306
"5307","53","07",WA,Pramila Jayapal,Jayapal,Democrat,5001600US5307
"5308","53","08",WA,Kim Schrier ,Schrier ,Democrat,5001600US5308
"5309","53","09",WA,Adam Smith,Smith,Democrat,5001600US5309
"5310","53","10",WA,Marilyn Strickland,Strickland,Democrat,5001600US5310
"5000","50","00",VT,Peter Welch,Welch,Democrat,5001600US5000
"5101","51","01",VA,Robert J. Wittman,Wittman,Republican,5001600US5101
"5102","51","02",VA,Elaine Luria,Luria,Democrat,5001600US5102
"5103","51","03",VA,Robert C. “Bobby” Scott,Scott,Democrat,5001600US5103
"5104","51","04",VA,A. Donald McEachin,McEachin,Democrat,5001600US5104
"5105","51","05",VA,Bob Good,Good,Republican,5001600US5105
"5106","51","06",VA,Ben Cline,Cline,Republican,5001600US5106
"5107","51","07",VA,Abigail Davis Spanberger,Spanberger,Democrat,5001600US5107
"5108","51","08",VA,"Donald S. Beyer, Jr.",Beyer,Democrat,5001600US5108
"5109","51","09",VA,H. Morgan Griffith,Griffith,Republican,5001600US5109
"5110","51","10",VA,Jennifer Wexton,Wexton,Democrat,5001600US5110
"5111","51","11",VA,Gerald E. Connolly,Connolly,Democrat,5001600US5111
"4901","49","01",UT,Blake Moore,Moore,Republican,5001600US4901
"4902","49","02",UT,Chris Stewart,Stewart,Republican,5001600US4902
"4903","49","03",UT,John R. Curtis,Curtis,Republican,5001600US4903
"4904","49","04",UT,Burgess Owens,Owens,Republican,5001600US4904
"4801","48","01",TX,Louie Gohmert,Gohmert,Republican,5001600US4801
"4802","48","02",TX,Daniel Crenshaw,Crenshaw,Republican,5001600US4802
"4803","48","03",TX,Van Taylor,Taylor,Republican,5001600US4803
"4804","48","04",TX,Pat Fallon,Fallon,Republican,5001600US4804
"4805","48","05",TX,Lance Gooden,Gooden,Republican,5001600US4805
"4806","48","06",TX,Jake Ellzey,Ellzey,Republican,5001600US4806
"4807","48","07",TX,Lizzie Fletcher,Fletcher,Democrat,5001600US4807
"4808","48","08",TX,Kevin Brady,Brady,Republican,5001600US4808
"4809","48","09",TX,Al Green,Green,Democrat,5001600US4809
"4810","48","10",TX,Michael T. McCaul,McCaul,Republican,5001600US4810
"4811","48","11",TX,August Pfluger,Pfluger,Republican,5001600US4811
"4812","48","12",TX,Kay Granger,Granger,Republican,5001600US4812
"4813","48","13",TX,Ronny Jackson,Jackson,Republican,5001600US4813
"4814","48","14",TX,Randy K. Weber Sr.,Weber,Republican,5001600US4814
"4815","48","15",TX,Vicente Gonzalez,Gonzalez,Democrat,5001600US4815
"4816","48","16",TX,Veronica Escobar,Escobar,Democrat,5001600US4816
"4817","48","17",TX,Pete Sessions,Sessions,Republican,5001600US4817
"4818","48","18",TX,Sheila Jackson Lee,Lee,Democrat,5001600US4818
"4819","48","19",TX,Jodey C. Arrington,Arrington,Republican,5001600US4819
"4820","48","20",TX,Joaquin Castro,Castro,Democrat,5001600US4820
"4821","48","21",TX,Chip Roy,Roy,Republican,5001600US4821
"4822","48","22",TX,Troy Nehis,Nehis,Republican,5001600US4822
"4823","48","23",TX,Tony Gonzales,Gonzales,Republican,5001600US4823
"4824","48","24",TX,Beth Van Duyne,Van Duyne,Republican,5001600US4824
"4825","48","25",TX,Roger Williams,Williams,Republican,5001600US4825
"4826","48","26",TX,Michael C. Burgess,Burgess,Republican,5001600US4826
"4827","48","27",TX,Michael Cloud,Cloud,Republican,5001600US4827
"4828","48","28",TX,Henry Cuellar,Cuellar,Democrat,5001600US4828
"4829","48","29",TX,Sylvia R. Garcia,Garcia,Democrat,5001600US4829
"4830","48","30",TX,Eddie Bernice Johnson,Johnson,Democrat,5001600US4830
"4831","48","31",TX,John R. Carter,Carter,Republican,5001600US4831
"4832","48","32",TX,Colin Z. Allred,Allred,Democrat,5001600US4832
"4833","48","33",TX,Marc A. Veasey,Veasey,Democrat,5001600US4833
"4834","48","34",TX,Filemon Vela,Vela,Democrat,5001600US4834
"4835","48","35",TX,Lloyd Doggett,Doggett,Democrat,5001600US4835
"4836","48","36",TX,Brian Babin,Babin,Republican,5001600US4836
"4701","47","01",TN,Diana Harshbarger,Harshbarger,Republican,5001600US4701
"4702","47","02",TN,Tim Burchett,Burchett,Republican,5001600US4702
"4703","47","03",TN,Charles J. “Chuck” Fleischmann,Fleischmann,Republican,5001600US4703
"4704","47","04",TN,Scott DesJarlais,DesJarlais,Republican,5001600US4704
"4705","47","05",TN,Jim Cooper,Cooper,Democrat,5001600US4705
"4706","47","06",TN,John W. Rose,Rose,Republican,5001600US4706
"4707","47","07",TN,Mark E. Green,Green,Republican,5001600US4707
"4708","47","08",TN,David Kustoff,Kustoff,Republican,5001600US4708
"4709","47","09",TN,Steve Cohen,Cohen,Democrat,5001600US4709
"4600","46","00",SD,Dusty Johnson,Johnson,Republican,5001600US4600
"4501","45","01",SC,Nancy Mace,Mace,Republican,5001600US4501
"4502","45","02",SC,Joe Wilson,Wilson,Republican,5001600US4502
"4503","45","03",SC,Jeff Duncan,Duncan,Republican,5001600US4503
"4504","45","04",SC,William R. Timmons IV,Timmons ,Republican,5001600US4504
"4505","45","05",SC,Ralph Norman,Norman,Republican,5001600US4505
"4506","45","06",SC,James E. Clyburn,Clyburn,Democrat,5001600US4506
"4507","45","07",SC,Tom Rice,Rice,Republican,5001600US4507
"4401","44","01",RI,David N. Cicilline,Cicilline,Democrat,5001600US4401
"4402","44","02",RI,James R. Langevin,Langevin,Democrat,5001600US4402
"4201","42","01",PA,Brian Fitzpatrick,Fitzpatrick,Republican,5001600US4201
"4202","42","02",PA,Brendan Boyle,Boyle,Democrat,5001600US4202
"4203","42","03",PA,Dwight Evans,Evans,Democrat,5001600US4203
"4204","42","04",PA,Madeleine Dean,Dean,Democrat,5001600US4204
"4205","42","05",PA,Mary Gay Scanlon,Scanlon,Democrat,5001600US4205
"4206","42","06",PA,Chrissy Houlahan,Houlahan,Democrat,5001600US4206
"4207","42","07",PA,Susan Wild,Wild,Democrat,5001600US4207
"4208","42","08",PA,Matt Cartwright,Cartwright,Democrat,5001600US4208
"4209","42","09",PA,Dan Meuser,Meuser,Republican,5001600US4209
"4210","42","10",PA,Scott Perry,Perry,Republican,5001600US4210
"4211","42","11",PA,Lloyd Smucker,Smucker,Republican,5001600US4211
"4212","42","12",PA,Fred Keller,Keller,Republican,5001600US4212
"4213","42","13",PA,John Joyce,Joyce,Republican,5001600US4213
"4214","42","14",PA,Guy Reschenthaler,Reschenthaler,Republican,5001600US4214
"4215","42","15",PA,Glenn Thompson,Thompson,Republican,5001600US4215
"4216","42","16",PA,Mike Kelly,Kelly,Republican,5001600US4216
"4217","42","17",PA,Conor Lamb,Lamb,Democrat,5001600US4217
"4218","42","18",PA,Michael F. Doyle,Doyle,Democrat,5001600US4218
"4101","41","01",OR,Suzanne Bonamici,Bonamici,Democrat,5001600US4101
"4102","41","02",OR,Cliff Bentz,Bentz,Republican,5001600US4102
"4103","41","03",OR,Earl Blumenauer,Blumenauer,Democrat,5001600US4103
"4104","41","04",OR,Peter A. DeFazio,DeFazio,Democrat,5001600US4104
"4105","41","05",OR,Kurt Schrader,Schrader,Democrat,5001600US4105
"4001","40","01",OK,Kevin Hern,Hern,Republican,5001600US4001
"4002","40","02",OK,Markwayne Mullin,Mullin,Republican,5001600US4002
"4003","40","03",OK,Frank D. Lucas,Lucas,Republican,5001600US4003
"4004","40","04",OK,Tom Cole,Cole,Republican,5001600US4004
"4005","40","05",OK,Stephanie Bice,Bice,Republican,5001600US4005
"3901","39","01",OH,Steve Chabot,Chabot,Republican,5001600US3901
"3902","39","02",OH,Brad R. Wenstrup,Wenstrup,Republican,5001600US3902
"3903","39","03",OH,Joyce Beatty,Beatty,Democrat,5001600US3903
"3904","39","04",OH,Jim Jordan,Jordan,Republican,5001600US3904
"3905","39","05",OH,Robert E. Latta,Latta,Republican,5001600US3905
"3906","39","06",OH,Bill Johnson,Johnson,Republican,5001600US3906
"3907","39","07",OH,Bob Gibbs,Gibbs,Republican,5001600US3907
"3908","39","08",OH,Warren Davidson,Davidson,Republican,5001600US3908
"3909","39","09",OH,Marcy Kaptur,Kaptur,Democrat,5001600US3909
"3910","39","10",OH,Michael R. Turner,Turner,Republican,5001600US3910
"3911","39","11",OH,,,Vacant,5001600US3911
"3912","39","12",OH,Troy Balderson,Balderson,Republican,5001600US3912
"3913","39","13",OH,Tim Ryan,Ryan,Democrat,5001600US3913
"3914","39","14",OH,David P. Joyce,Joyce,Republican,5001600US3914
"3915","39","15",OH,Steve Stivers,Stivers,Republican,5001600US3915
"3916","39","16",OH,Anthony Gonzalez,Gonzalez,Republican,5001600US3916
"3601","36","01",NY,Lee M. Zeldin,Zeldin,Republican,5001600US3601
"3602","36","02",NY,Andrew Garbarino,Garbarino,Republican,5001600US3602
"3603","36","03",NY,Thomas R. Suozzi,Suozzi,Democrat,5001600US3603
"3604","36","04",NY,Kathleen M. Rice,Rice,Democrat,5001600US3604
"3605","36","05",NY,Gregory W. Meeks,Meeks,Democrat,5001600US3605
"3606","36","06",NY,Grace Meng,Meng,Democrat,5001600US3606
"3607","36","07",NY,Nydia M. Velázquez,Velázquez,Democrat,5001600US3607
"3608","36","08",NY,Hakeem S. Jeffries,Jeffries,Democrat,5001600US3608
"3609","36","09",NY,Yvette D. Clarke,Clarke,Democrat,5001600US3609
"3610","36","10",NY,Jerrold Nadler,Nadler,Democrat,5001600US3610
"3611","36","11",NY,Nicole Malliotakis,Malliotakis,Republican,5001600US3611
"3612","36","12",NY,Carolyn B. Maloney,Maloney,Democrat,5001600US3612
"3613","36","13",NY,Adriano Espaillat,Espaillat,Democrat,5001600US3613
"3614","36","14",NY,Alexandria Ocasio-Cortez,Ocasio-Cortez,Democrat,5001600US3614
"3615","36","15",NY,Ritchie Torres,Torres,Democrat,5001600US3615
"3616","36","16",NY,Jamaal Bowman,Bowman,Democrat,5001600US3616
"3617","36","17",NY,Mondaire Jones,Jones,Democrat,5001600US3617
"3618","36","18",NY,Sean Patrick Maloney,Maloney,Democrat,5001600US3618
"3619","36","19",NY,Antonio Delgado,Delgado,Democrat,5001600US3619
"3620","36","20",NY,Paul Tonko,Tonko,Democrat,5001600US3620
"3621","36","21",NY,Elise M. Stefanik,Stefanik,Republican,5001600US3621
"3622","36","22",NY,Claudia Tenney,Tenney,Republican,5001600US3622
"3623","36","23",NY,Tom Reed,Reed,Republican,5001600US3623
"3624","36","24",NY,John Katko,Katko,Republican,5001600US3624
"3625","36","25",NY,Joseph D. Morelle,Morelle,Democrat,5001600US3625
"3626","36","26",NY,Brian Higgins,Higgins,Democrat,5001600US3626
"3627","36","27",NY,Chris Jacobs,Jacobs,Republican,5001600US3627
"3201","32","01",NV,Dina Titus,Titus,Democrat,5001600US3201
"3202","32","02",NV,Mark E. Amodei,Amodei,Republican,5001600US3202
"3203","32","03",NV,Susie Lee,Lee,Democrat,5001600US3203
"3204","32","04",NV,Steven Horsford,Horsford,Democrat,5001600US3204
"3501","35","01",NM,Melanie Stansbury,Stansbury,Democrat,5001600US3501
"3502","35","02",NM,Yvette Herrell,Herrell,Republican,5001600US3502
"3503","35","03",NM,Teresa Leger Fernandez,Fernandez,Democrat,5001600US3503
"3401","34","01",NJ,Donald Norcross,Norcross,Democrat,5001600US3401
"3402","34","02",NJ,Jeff Van Drew,Drew,Democrat,5001600US3402
"3403","34","03",NJ,Andy Kim,Kim,Democrat,5001600US3403
"3404","34","04",NJ,Christopher H. Smith,Smith,Republican,5001600US3404
"3405","34","05",NJ,Josh S. Gottheimer,Gottheimer,Democrat,5001600US3405
"3406","34","06",NJ,Frank Pallone Jr.,Pallone,Democrat,5001600US3406
"3407","34","07",NJ,Tom Malinowski,Malinowski,Democrat,5001600US3407
"3408","34","08",NJ,Albio Sires,Sires,Democrat,5001600US3408
"3409","34","09",NJ,Bill Pascrell Jr.,Pascrell,Democrat,5001600US3409
"3410","34","10",NJ,Donald M. Payne Jr.,Payne,Democrat,5001600US3410
"3411","34","11",NJ,Mikie Sherrill,Sherrill,Democrat,5001600US3411
"3412","34","12",NJ,Bonnie Watson Coleman,Coleman,Democrat,5001600US3412
"3301","33","01",NH,Chris Pappas,Pappas,Democrat,5001600US3301
"3302","33","02",NH,Ann M. Kuster,Kuster,Democrat,5001600US3302
"3101","31","01",NE,Jeff Fortenberry,Fortenberry,Republican,5001600US3101
"3102","31","02",NE,Don Bacon,Bacon,Republican,5001600US3102
"3103","31","03",NE,Adrian Smith,Smith,Republican,5001600US3103
"3800","38","00",ND,Kelly Armstrong,Armstrong,Republican,5001600US3800
"3701","37","01",NC,G. K. Butterfield,Butterfield,Democrat,5001600US3701
"3702","37","02",NC,Deborah K. Ross,Ross,Democrat,5001600US3702
"3703","37","03",NC,Gregory F. Murphy,Murphy,Republican,5001600US3703
"3704","37","04",NC,David E. Price,Price,Democrat,5001600US3704
"3705","37","05",NC,Virginia Foxx,Foxx,Republican,5001600US3705
"3706","37","06",NC,Kathy Manning,Manning,Democrat,5001600US3706
"3707","37","07",NC,David Rouzer,Rouzer,Republican,5001600US3707
"3708","37","08",NC,Richard Hudson,Hudson,Republican,5001600US3708
"3709","37","09",NC,Dan Bishop,Bishop,Republican,5001600US3709
"3710","37","10",NC,Patrick T. McHenry,McHenry,Republican,5001600US3710
"3711","37","11",NC,Madison Cawthorn,Cawthorn,Republican,5001600US3711
"3712","37","12",NC,Alma S. Adams,Adams,Democrat,5001600US3712
"3713","37","13",NC,Ted Budd,Budd,Republican,5001600US3713
"3000","30","00",MT,Matt Rosendale,Rosendale,Republican,5001600US3000
"2801","28","01",MS,Trent Kelly,Kelly,Republican,5001600US2801
"2802","28","02",MS,Bennie G. Thompson,Thompson,Democrat,5001600US2802
"2803","28","03",MS,Michael Guest,Guest,Republican,5001600US2803
"2804","28","04",MS,Steven M. Palazzo,Palazzo,Republican,5001600US2804
"2901","29","01",MO,Cori Bush,Bush,Democrat,5001600US2901
"2902","29","02",MO,Ann Wagner,Wagner,Republican,5001600US2902
"2903","29","03",MO,Blaine Luetkemeyer,Luetkemeyer,Republican,5001600US2903
"2904","29","04",MO,Vicky Hartzler,Hartzler,Republican,5001600US2904
"2905","29","05",MO,Emanuel Cleaver,Cleaver,Democrat,5001600US2905
"2906","29","06",MO,Sam Graves,Graves,Republican,5001600US2906
"2907","29","07",MO,Billy Long,Long,Republican,5001600US2907
"2908","29","08",MO,Jason Smith,Smith,Republican,5001600US2908
"2701","27","01",MN,Jim Hagedorn,Hagedorn,Republican,5001600US2701
