name,count
Lincoln,6
Warren,6
Andover,5
Bridgewater,5
Bristol,5
Chester,5
Newport,5
Plymouth,5
Richmond,5
Washington,5
Windsor,5
Berlin,4
Brookfield,4
Burlington,4
Cambridge,4
Canaan,4
Easton,4
Franklin,4
Goshen,4
Groton,4
Hancock,4
Manchester,4
Milford,4
Milton,4
Monroe,4
Northfield,4
Orange,4
Pittsfield,4
Plainfield,4
Randolph,4
Roxbury,4
Salisbury,4
Sharon,4
Springfield,4
Weston,4
Windham,4
Woodstock,4
Amherst,3
Ashland,3
Auburn,3
Avon,3
Barre,3
Belmont,3
Bethel,3
Bolton,3
Bradford,3
Brookline,3
Canton,3
Chelsea,3
Clinton,3
Columbia,3
Concord,3
Coventry,3
Dover,3
Durham,3
Enfield,3
Essex,3
Exeter,3
Fairfield,3
Farmington,3
Grafton,3
Granby,3
Guilford,3
Hanover,3
Hartford,3
Hartland,3
Hebron,3
Hopkinton,3
Hudson,3
Lebanon,3
Lee,3
Lisbon,3
Litchfield,3
Littleton,3
Lowell,3
Ludlow,3
Madison,3
Marlborough,3
Marshfield,3
Newbury,3
Oxford,3
Pembroke,3
Peru,3
Rochester,3
Rutland,3
Salem,3
Shelburne,3
St. Albans,3
Sutton,3
Troy,3
Unity,3
Waltham,3
Waterford,3
Webster,3
Westfield,3
Wilton,3
Winchester,3
Acton,2
Addison,2
Albany,2
Alton,2
Arlington,2
Athens,2
Atkinson,2
Barrington,2
Bath,2
Beans,2
Bedford,2
Bennington,2
Benton,2
Bethlehem,2
Bloomfield,2
Brighton,2
Brunswick,2
Calais,2
Canterbury,2
Carroll,2
Charleston,2
Charlestown,2
Charlotte,2
Chatham,2
Cheshire,2
Chesterfield,2
Colchester,2
Colebrook,2
Conway,2
Corinth,2
Cornish,2
Cornwall,2
Cumberland,2
Dalton,2
Danbury,2
Danville,2
Dedham,2
Deerfield,2
Derby,2
Duxbury,2
East Haven,2
Ellsworth,2
Falmouth,2
Freedom,2
Georgetown,2
Gorham,2
Grand Isle,2
Granville,2
Greenville,2
Halifax,2
Hampden,2
Hampton,2
Hardwick,2
Haverhill,2
Hinsdale,2
Holden,2
Holland,2
Hollis,2
Huntington,2
Jackson,2
Jay,2
Jefferson,2
Kingston,2
Lakeville,2
Lancaster,2
Leicester,2
Livermore,2
Londonderry,2
Lunenburg,2
Lyman,2
Lyme,2
Mansfield,2
Medford,2
Medway,2
Mendon,2
Middlebury,2
Middlefield,2
Middleton,2
Middletown,2
Monson,2
Montgomery,2
Montville,2
New Haven,2
New London,2
Newington,2
Newton,2
Norfolk,2
North Haven,2
Norton,2
Norwich,2
Otis,2
Pelham,2
Penobscot Indian Island,2
Plainville,2
Pomfret,2
Portland,2
Portsmouth,2
Pownal,2
Princeton,2
Prospect,2
Rangeley,2
Raymond,2
Reading,2
Rockland,2
Rockport,2
Sandwich,2
Scituate,2
Sheffield,2
Sherman,2
Shirley,2
Shrewsbury,2
Smithfield,2
Somerset,2
Somerville,2
St. George,2
Stamford,2
Sterling,2
Stockbridge,2
Stoneham,2
Stonington,2
Stow,2
Strafford,2
Stratford,2
Sudbury,2
Sullivan,2
Sunderland,2
Surry,2
Temple,2
Thomaston,2
Tolland,2
Topsfield,2
Topsham,2
Union,2
Upton,2
Vernon,2
Wakefield,2
Wales,2
Wallingford,2
Walpole,2
Warwick,2
Waterbury,2
Waterville,2
Wells,2
Wentworth,2
West Haven,2
Westbrook,2
Westford,2
Westminster,2
Westport,2
Whitefield,2
Whiting,2
Williamstown,2
Wilmington,2
Wolcott,2
Woodbury,2
Worcester,2
Yarmouth,2